source,manufacturer_name,product_url,product_article_id,sds_pdf,sds_source,sds_language,product_name,sds_pdf_product_name,sds_pdf_published_date,sds_pdf_revision_date,sds_pdf_manufacture_name,sds_pdf_Hazards_identification,sds_filename,crawl_date
carlroth.py,carlroth,https://www.carlroth.com/com/en/a-to-z/silicone-oil-m-3/p/4106.2,,https://www.carlroth.com/medias/SDB-4106-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wyNjIyMTJ8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oYjkvaDA2Lzg5NzA5NzY0NjA4MzAucGRmfDkzODdkY2JkODc3YjJjNzU5OWNlYTU4NjY5MjgzYWQyODEyNDFkZmZkMTNhZTc0M2EwYWNiOGM4NTZhY2Y0YTk,https://www.carlroth.com/com/en/a-to-z/silicone-oil-m-3/p/4106.2,Norwegian,"Silicone oil M 3, 5 kg low viscous, 3 cSt",Silikonolje,17/03/2016,29/03/2019,Carl Roth GmbH + Co KG,"H361, H413, H226",downloads/SDB-4106-NO-NO.pdf,29/06/2020
carlroth.py,carlroth,https://www.carlroth.com/com/en/molecular-sieves/molecular-sieve-4-%C3%A5/p/8471.3,,https://www.carlroth.com/medias/SDB-8471-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wyMzgwMzd8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oY2MvaDg3Lzg5ODU1Mjc4MTIxMjYucGRmfDhmMWYwNDFjOTk3NzAxZGZmZjNlZmQzNzM1MjhhOTQwMWRhMWQwNWU0NjBmMjQ2Y2RkMDdhYmQ3MWMxNmNkNzQ,https://www.carlroth.com/com/en/molecular-sieves/molecular-sieve-4-%C3%A5/p/8471.3,Norwegian,"Molecular sieve 4 Å, 2.5 kg, plastic 0,4 nm, type 514, pearls",Molekylsikt,16/09/2015,18/05/2020,Carl Roth GmbH + Co KG,H372,downloads/SDB-8471-NO-NO.pdf,29/06/2020
carlroth.py,carlroth,https://www.carlroth.com/com/en/silica-gels-unmodified/silica-gel-60/p/p090.5,,https://www.carlroth.com/medias/SDB-P090-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wxOTA5OTZ8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oMGYvaDk2Lzg5NzEwNTk3MjQzMTgucGRmfGM3YzdlMzBiYzYyMjRiOTJmNDYxYTY2MjQ5ZDU5YjFhNDFjZjA3YTZiMWRjMWFjYmY2MzkzNzY4OGFlNjNjN2E,https://www.carlroth.com/com/en/silica-gels-unmodified/silica-gel-60/p/p090.5,Norwegian,"Silica gel 60, 25 kg 0,03-0,2 mm",Silisiumdioksid 60,27/06/2016,25/08/2017,Carl Roth GmbH + Co KG,,downloads/SDB-P090-NO-NO.pdf,29/06/2020
carlroth.py,carlroth,https://www.carlroth.com/com/en/a-to-z/silicone-oil-m-100/p/4025.3,,https://www.carlroth.com/medias/SDB-4025-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wyMzc3NzR8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oMTIvaDI1Lzg5NzA5NzQ5MjA3MzQucGRmfGRhYzA2NGJhNDk1YTE2NmVmODI4YTJhNTZmYzk1MTQ3MDU0YzExNmQ5NDczMjVhNGI0ZTQ0ZDk0NzRiNGY1MTQ,https://www.carlroth.com/com/en/a-to-z/silicone-oil-m-100/p/4025.3,Norwegian,"Silicone oil M 100, 10 kg medium viscous, 100 cSt",Silikonolje,17/03/2016,29/03/2019,Carl Roth GmbH + Co KG,,downloads/SDB-4025-NO-NO.pdf,29/06/2020
carlroth.py,carlroth,https://www.carlroth.com/com/en/gycerin-from-vegetables/glycerol/p/7530.4,,https://www.carlroth.com/medias/SDB-7530-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wyMzY5NzB8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oYjUvaDdiLzg5NzEwMDMwMDI5MTAucGRmfDg3MjY3NWY0OTEyZDQwMjBkZDBiMzAxZmQ0Njc5MWM3MjUyYmM3ZjZkOGY4YTgxOGZhMTczNTEzYjU2ZjM5MWY,https://www.carlroth.com/com/en/gycerin-from-vegetables/glycerol/p/7530.4,Norwegian,"Glycerol, 2.5 l SOLVAGREEN® ≥98 %, anhydrous, Ph.Eur.",Glyserin,14/07/2015,25/04/2019,Carl Roth GmbH + Co KG,,downloads/SDB-7530-NO-NO.pdf,29/06/2020
carlroth.py,carlroth,https://www.carlroth.com/com/en/propylene-carbonate/p/5022.4,,https://www.carlroth.com/medias/SDB-5022-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wyNDYyODZ8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oOGUvaGU0Lzg5NzA5NjQwNzQ1MjYucGRmfDNjZmYwZGEzZTZhNTJiN2I4ZGQ0MTNmMTc5Nzc3NjBiMDkwOTJkZDcyODkxNjU2YmZhYTYxZDY0OWJiOGJjMjM,https://www.carlroth.com/com/en/propylene-carbonate/p/5022.4,Norwegian,"Propylene carbonate, 2.5 l SOLVAGREEN® ≥99,7 %, for synthesis",Propylenkarbonat,19/01/2016,25/03/2019,Carl Roth GmbH + Co KG,H319,downloads/SDB-5022-NO-NO.pdf,29/06/2020
carlroth.py,carlroth,https://www.carlroth.com/com/en/activated-charcoal/charcoal/p/5963.2,,https://www.carlroth.com/medias/SDB-5963-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wxODM4MTB8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oMzcvaGE2Lzg5NzA5NjIzNzA1OTAucGRmfDU4YTA0NTYyYTc5YzE1ZTNiMjE3OWFhOTFhYTI2Y2I4ZDM0ZWMyNjgxMDdlY2M5ZjdhMWU2NWU4MzA0MTg2ZmM,https://www.carlroth.com/com/en/activated-charcoal/charcoal/p/5963.2,Norwegian,"Charcoal, 5 kg powdered, phosphoric acid activated, for decolourisation",Aktivt kull,28/07/2016,,Carl Roth GmbH + Co KG,H252,downloads/SDB-5963-NO-NO.pdf,29/06/2020
carlroth.py,carlroth,https://www.carlroth.com/com/en/a-to-z/silicone-oil-m-5/p/7844.2,,https://www.carlroth.com/medias/SDB-7844-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wyNjIyMzV8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oNTYvaGY1Lzg5NzEwMDYzNzgwMTQucGRmfDZmYTM4NTFjNGIwM2FiNzhiODcxNGI5MWU2ZjZkZmI3NDNmOTBlYmZjZmRlNmY3MjcyNzBhMzZkNmVlOWNiMzY,https://www.carlroth.com/com/en/a-to-z/silicone-oil-m-5/p/7844.2,Norwegian,"Silicone oil M 5, 5 l, plastic low viscous, 5 cSt",Silikonolje,17/03/2016,29/03/2019,Carl Roth GmbH + Co KG,"H361, H413, H226",downloads/SDB-7844-NO-NO.pdf,29/06/2020
carlroth.py,carlroth,https://www.carlroth.com/com/en/a-to-z/silicone-oil-m-100/p/a528.1,,https://www.carlroth.com/medias/SDB-A528-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wyMzc4NDB8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oYTUvaGI0Lzg5NzEwNjUyOTQ4NzgucGRmfGQ3OWFkZDc3NDI4ODE5ZjBhNGVhMTdkMGRjNjE0YjQ0NzRkYzAyNGRhZmZmMGM5ZmVhNzMyZjg0MWNmZTkwNmU,https://www.carlroth.com/com/en/a-to-z/silicone-oil-m-100/p/a528.1,Norwegian,"Silicone oil M 100 medium viscous, stabilised",Silikonolje,17/03/2016,29/03/2019,Carl Roth GmbH + Co KG,,downloads/SDB-A528-NO-NO.pdf,29/06/2020
carlroth.py,carlroth,https://www.carlroth.com/com/en/silica-gels-unmodified/silica-gel-60/p/0712.3,,https://www.carlroth.com/medias/SDB-0712-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wxOTEwMTV8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oZmEvaDE2Lzg5NzA5MjIxNjQyNTQucGRmfDkyZDRiYjMxMTc0YTJkNzVlOTdiOWVkOWEzOWM0NmU0MzAzOGEyZWMwZjM1MGQzZGVkNTdmNTkzZDI0ZmM1Njg,https://www.carlroth.com/com/en/silica-gels-unmodified/silica-gel-60/p/0712.3,Norwegian,"Silica gel 60, 2.5 kg 0,02-0,045 mm",Silisiumdioksid 60,27/06/2016,25/08/2017,Carl Roth GmbH + Co KG,,downloads/SDB-0712-NO-NO.pdf,29/06/2020
